"V1","nodeID"
505235,34603
505235,334607
509807,171148
782993,171148
505344,52333
517351,226
517351,30796
533433,137119
785223,42702
779654,180241
533465,354466
533465,41026
524768,477135
524768,55964
529110,89613
536633,71725
516035,295825
516035,1427
505253,295825
505253,1427
528283,83332
527211,468700
519824,271532
535078,196552
531147,2545
531147,6046
514666,342783
514666,285360
532764,260560
534185,157272
534817,110307
525726,37594
525726,184191
516046,287383
534817,358674
506073,51821
513460,150744
505752,150744
522182,150744
506391,150744
505305,150744
506085,150744
512166,150744
505040,150744
512340,150744
524751,150744
512018,150744
505087,150744
510544,150744
513317,150744
505019,150744
521633,150744
505815,150744
505083,150744
505312,150744
505050,150744
505016,150744
505017,150744
505378,150744
529141,150744
524766,150744
509816,150744
508693,150744
523943,150744
505222,150744
505240,150744
505828,150744
533061,150744
506853,150744
518903,150744
506325,150744
511960,150744
505262,61277
531558,336666
535494,336666
535152,190764
535707,215710
505326,76365
505832,396994
532841,33085
509222,65395
782445,83069
783125,479250
529081,150523
783686,502633
520436,391156
505808,391156
783046,270400
783046,30193
506431,469437
505829,469437
508797,212414
508797,65670
783680,464205
780150,418806
505358,337072
782427,78229
510226,337864
509180,55081
505332,108267
535473,108267
518562,108267
781409,86689
507499,128360
519712,360356
520864,458067
520864,318112
505074,103807
519553,255171
519553,308079
533412,494666
513919,238805
508872,202713
511970,298073
515422,112117
518605,306366
509333,10491
509333,164023
522488,94495
522488,5609
521633,94495
521633,5609
533700,12859
522006,227184
522006,473523
506831,497277
781508,451115
505064,41056
505064,488940
505814,195050
505814,353802
509480,241800
783154,64923
784473,259147
780124,385929
506426,22215
506423,22215
531556,337907
516369,47635
518498,47635
511023,101277
511023,176902
530852,75492
530852,358672
785682,113175
524289,93916
512293,93916
524045,8509
524045,89553
526865,196948
525341,309993
515375,483027
506940,367667
782639,451393
505401,271102
522479,83338
781474,366119
530239,458238
535136,336534
505389,15576
505389,68304
505766,206842
780433,26637
783016,442002
783016,13912
512239,395452
529792,395452
527465,27764
527465,270512
536625,204852
512239,48965
509262,309157
506462,259755
510900,484394
510900,125960
505653,189165
530803,95665
505067,136059
522182,136059
525733,136059
520332,164897
505753,359145
535732,359145
505002,14234
505002,251612
527316,14234
527316,251612
505249,450682
523891,450691
518619,191306
513298,374676
535725,192827
507248,487876
779766,465662
506832,25839
531442,152006
531442,210361
506088,438347
783130,211789
783130,28907
784038,68211
784038,217615
505788,101827
783635,182402
784150,182402
532784,196362
532784,356001
513932,270878
506432,70308
506820,425050
506820,23599
505249,241378
782909,191715
508738,319813
512239,342235
536344,2822
536344,150268
513963,68299
513963,24618
536683,13079
536683,165881
525117,294377
779760,161344
782468,359972
782468,39108
509212,301910
515773,490708
505241,387026
781392,312388
505313,283649
505391,286300
510278,284559
510278,184302
513002,65207
536988,481750
509842,38157
528281,384812
781970,115009
512225,30446
506084,360285
506084,32063
785707,360285
785707,32063
510282,135380
507771,468171
515326,99283
505075,120351
505273,87108
505273,35455
513032,8358
513032,8013
526855,282965
510304,9546
520292,9546
520291,9546
521265,369457
505054,48657
505054,337859
779629,274382
779629,120616
513703,394558
509234,80070
783050,397670
536329,2762
505834,140063
505834,295710
530736,140063
530736,295710
507588,140063
507588,295710
510943,3840
782947,210134
505253,49297
784530,126504
505219,57848
506155,57848
507426,275419
536750,129604
533868,144639
530141,242958
510679,292838
534785,111754
534785,40858
782897,393984
530858,120426
524056,343677
524056,68673
531633,343677
531633,68673
505356,387646
527388,458587
782992,413261
515781,301339
525334,207464
531365,45198
780326,169115
780327,169115
510544,356925
514590,69398
514137,69398
509284,457451
510992,177724
782977,114843
533308,35846
533308,387587
527102,492040
532232,82814
532232,234282
505643,82814
505643,234282
779813,82814
779813,234282
506889,448298
505209,13243
505265,69580
505266,69580
530702,107493
520447,438981
520447,49595
524056,438981
524056,49595
533377,438981
533377,49595
521146,438981
521146,49595
526186,31014
524670,71554
780891,256351
508064,417054
510417,308284
521126,55639
783502,79558
783502,11314
511447,240358
505312,240358
505269,104833
510398,76830
779791,334509
779791,247340
512239,334509
512239,247340
505389,334509
505389,247340
528877,290024
528877,25414
505393,71268
505052,120212
510859,120212
782434,120212
509884,484186
535946,464762
528692,230629
528692,137301
779311,27506
779311,15050
505026,205650
505026,43839
510719,91153
506755,48772
510900,291346
527243,230239
527243,116988
516019,132689
783513,352509
532051,437407
783568,97583
509779,215778
522810,71302
779048,166118
515356,203133
515356,6176
519724,439218
507450,439218
512324,30908
512324,272353
783713,258130
779201,114358
507185,209046
519650,17170
779009,467122
519705,353606
505767,120716
505767,283738
514909,46446
520295,222347
505821,354356
509513,416283
512966,255696
518945,248010
523177,284973
524232,232858
514666,142524
514666,177119
525738,93058
522869,88814
521248,50176
785769,500253
518633,16149
508084,228740
532031,46072
506300,261268
521217,37087
526670,439231
505337,221347
784457,112515
783098,197744
781856,468423
785530,258468
785196,110133
516864,146802
516864,227713
517098,305623
511953,229018
512967,306513
781852,58190
781852,802
508136,39234
505808,415841
505808,109173
506722,331693
511706,144826
521199,159077
510866,431874
511402,87327
511431,170510
532064,178132
510416,306431
517435,381883
505695,29209
782920,301134
783474,315273
507814,23078
517384,280976
516319,395094
514074,483395
514293,199109
513375,199109
782440,132613
528296,50753
779846,476462
779846,126975
512020,84530
512020,119357
512039,84530
512039,119357
525384,84530
525384,119357
532352,84530
532352,119357
523598,84530
523598,119357
780841,479715
508828,173079
525636,203962
784148,359039
505828,359039
527907,364833
527907,31573
505082,241154
505738,237281
506448,328749
505210,314857
510719,151663
782552,142781
779791,142781
779785,142781
783475,40895
508162,12842
508162,69499
523161,12842
523161,69499
527108,12842
527108,69499
514108,12842
514108,69499
510719,12842
510719,69499
521218,492746
509300,470995
509299,470995
779766,386345
779766,86669
521218,176915
779801,133403
779800,133403
779799,133403
779797,133403
779798,133403
507407,383704
779789,38180
779789,164325
514625,92886
779805,84838
527243,470793
785685,495330
785685,112398
512239,40808
518448,40808
505026,134433
505262,222054
526818,222054
509816,221345
505828,221345
510680,451925
510680,31567
782950,115647
509853,253242
535526,219834
781803,335898
505694,385873
505694,9047
531595,93270
508365,471786
511706,21357
523624,202064
510904,375017
532769,290904
532769,176181
779332,407672
517557,222426
506733,185436
510719,101949
510719,14726
531610,363146
509264,442504
512622,120492
783012,253692
505411,128104
518324,234703
520313,344395
520306,344395
524045,233289
524045,12518
517062,108500
515241,369407
515241,22149
507800,303356
779711,95737
780790,116829
534130,35354
783154,79055
783154,176467
506409,96351
779657,372152
516787,157832
506887,49974
505278,49974
509278,49974
505064,49974
505809,76540
510873,52855
510873,163541
505753,2844
526046,71473
507796,350169
507796,172205
518903,350169
518903,172205
505050,38683
515277,25863
505225,116325
505406,116325
506817,359754
533433,230753
510868,413279
526112,330584
526112,313712
517548,412760
780797,412760
517549,412760
779035,31616
531462,39873
785063,504327
512190,60349
534835,334267
516916,369778
517904,145980
517904,15258
537004,384568
507801,38187
507801,12547
530119,53533
783518,273404
528877,495589
780154,50792
780154,236936
525336,247125
519724,405373
506325,259399
521223,364318
508805,297122
513006,94022
521170,410839
521170,16352
522882,473244
522882,58009
530919,84046
536692,84046
507779,30974
507779,230034
783496,95369
507407,205257
507407,187976
533323,351007
518036,90387
505070,230567
509234,84528
534807,48848
534807,762
526729,3066
526729,5751
536350,3066
536350,5751
522488,3066
522488,5751
521267,3066
521267,5751
505001,3066
505001,5751
529778,3066
529778,5751
521953,320356
509884,21438
509884,20425
508802,21438
508802,20425
506311,21438
506311,20425
516718,21438
516718,20425
517846,21438
517846,20425
507416,21438
507416,20425
507580,21438
507580,20425
513374,21438
513374,20425
782427,359949
531646,267377
531646,258643
505834,130843
505834,504153
782465,420849
505369,66833
519035,43620
505056,181682
528523,40085
528523,23630
519691,362339
511039,211635
506748,211635
509277,490438
516038,74908
783727,114754
508710,233546
512940,219166
511620,420007
780090,149164
780090,62329
505050,149164
505050,62329
505755,149164
505755,62329
518607,23446
530668,378300
514618,129769
785707,149076
520827,149076
521199,149076
507369,448818
