(7,3)
	727	2104	3182	4018	4810	6108	6110	1334686	1334713	1334817	
	43	1351	5859	15291	26397	39054	90439	92583	1278886	1278890	1280106	
	81	352	435	1827	1906	2435	2437	7246	17293	17299	1238855	1239015	1239686	
	100	219	892	1558	3182	3676	4264	4804	4890	5003	5309	5450	6108	6110	8597	20014	1308823	1308871	1308886	
	145	2419	6108	6110	6585	7318	11470	19653	82090	1257704	1257755	1259080	
	41	43	46	48	801	1177	1834	19724	35977	63714	1243708	1243975	1244742	
	42	2581	4225	6670	10844	38920	113062	158104	232031	1410045	1410547	1418002	
	3	43	20975	31061	37695	68922	68925	1256236	1260333	1262033	
	41	43	147	19747	34147	92741	92744	1278690	1278716	1278723	
	41	43	431	839	1351	7663	302540	1224425	1224433	1224438	
	64	262	536	839	1049	1351	2772	3265	3457	4690	5535	5669	6614	6854	7809	8263	8803	9072	10809	10844	11133	15460	18261	18652	19547	20975	30623	30743	39540	42222	43866	47436	48339	53421	54002	57319	88514	92581	95117	95656	95659	95663	95666	123499	205874	205881	205903	1294037	1295350	1295765	
	43	219	3095	10844	29712	41844	259885	1326201	1326207	1326228	
	1638	2819	4264	6108	6110	7885	8597	29743	30146	30919	265014	1309801	1309851	1309878	
	5535	9253	28957	42248	75283	105960	129177	147279	1228841	1230275	1232282	
(4,8)
	145	147	2981	11219	25844	1279943	1279963	1279965	1280142	1280144	1280388	1280404	1280407	
(9,4)
	43	48	111	145	219	538	2028	2461	3433	57656	1366044	1378381	1378456	1378462	
	64	536	1049	10809	10844	11133	53421	95656	95659	95663	95666	1288706	1294037	1295350	1295765	
(3,7)
	145	147	3467	1279965	1280017	1280026	1280029	1280135	1280393	1280395	
(10,3)
	48	143	145	147	1715	2644	2915	2981	11219	16225	1284173	1284179	1284238	
	1638	2819	4264	6108	6110	7885	8597	29743	30146	30919	265014	1309801	1309851	1309878	
	100	219	892	1558	3182	3676	4264	4804	4890	5003	5309	5450	6108	6110	8597	20014	1308823	1308871	1308886	
	41	43	46	48	801	1177	1834	19724	35977	63714	1243708	1243975	1244742	
	64	262	536	839	1049	1351	2772	3265	3457	4690	5535	5669	6614	6854	7809	8263	8803	9072	10809	10844	11133	15460	18261	18652	19547	20975	30623	30743	39540	42222	43866	47436	48339	53421	54002	57319	88514	92581	95117	95656	95659	95663	95666	123499	205874	205881	205903	1294037	1295350	1295765	
	81	352	435	1827	1906	2435	2437	7246	17293	17299	1238855	1239015	1239686	
(5,8)
	145	147	2981	11219	25844	1279943	1279963	1279965	1280142	1280144	1280388	1280404	1280407	
(7,4)
	64	536	1049	10809	10844	11133	53421	95656	95659	95663	95666	1288706	1294037	1295350	1295765	
(3,3)
	3696	10386	22120	1429748	1431630	1431691	
	5535	20867	22135	1347036	1347621	1349113	
	353	33494	66779	224951	1224805	1226480	1227668	
	15429	16456	227337	1323412	1323441	1323445	
	111	219	23615	1245239	1369589	1418734	
	145	2419	6108	6110	6585	7318	11470	19653	82090	1257704	1257755	1259080	
	41	43	74624	1224423	1224438	1224496	
	43	145	8750	217168	1261454	1261462	1261468	
	1369	7561	7600	1389162	1394567	1397090	
	23218	23798	73211	1221161	1221221	1221236	
	4690	49520	115551	182535	1233036	1237098	1238395	
	43	228	232	72005	1225606	1226943	1240189	
	48	145	215885	1284178	1284179	1359787	
	219	10486	30688	1259416	1259471	1259482	
	3696	18175	120099	1425657	1427457	1430969	
	10982	56720	73914	134650	1308389	1308393	1311932	
	219	41766	265799	1332975	1336531	1337229	
	43	1176	6950	26186	1423860	1438172	1438238	
	42	1176	3693	75283	252031	1410045	1410547	1415246	
	1351	27811	50674	202904	1342495	1342518	1345770	
	10358	17850	126179	1312699	1314462	1315556	
	32506	34529	66538	68390	339251	1360593	1361172	1361183	
	727	2104	3182	4018	4810	6108	6110	1334686	1334713	1334817	
	41	64	53947	1401823	1402560	1409861	
	43	48	32762	43933	112046	1329406	1335639	1338108	
	48	145	112883	1410519	1418852	1418962	
	45685	69331	109358	111901	163536	334856	1340174	1340690	1340719	
	1747	36290	92988	1423715	1425399	1425473	
	43	48	143	87749	1436569	1436581	1436584	
	3292	42785	48736	1342649	1343238	1343311	
	145	219	19513	1245521	1245602	1245777	
	32829	36330	39409	1361180	1362403	1363037	
	43	145	222078	1233544	1240760	1241024	
	262	3696	71081	1430967	1431630	1432472	
	839	1049	141898	1233652	1233698	1235995	
	43	1351	16863	119178	1262787	1263753	1322058	
	3074	16456	244290	1432467	1433425	1433435	
	48	145	190217	1284178	1284179	1365780	
	43	145	52537	1261468	1261503	1402322	
	219	5535	88647	1404441	1407685	1408095	
	1351	1369	30570	1271686	1274526	1277080	
	43	447	341147	1261464	1261537	1261538	
	41	43	431	839	1351	7663	302540	1224425	1224433	1224438	
	2419	55565	128364	161151	1269173	1269198	1269363	
	4975	7809	71438	1421444	1427092	1429864	
	48	145	4867	4869	1361111	1361113	1361270	
	21348	68111	68112	1230034	1230037	1230054	
	3933	57803	196897	1405852	1408519	1408541	
	4975	7809	9319	258122	1416194	1416416	1421444	
	3471	87648	147050	1328128	1328791	1333162	
	6240	9503	11944	1388277	1388804	1388819	
	48	219	9491	108371	1323529	1327794	1327812	
	43	1700	21081	24226	161695	1377600	1378413	1379119	
